あう,あいます,to meet; to see (a person)
ある,あるます,there is
いく,いきます,to go
かう,かいます,to buy
かえる,かえります,to go back; to return
かく,かきます,to write
きく,ききます,to listen; to hear; to ask
とる,とります,to take (a picture)
のむ,のみます,to drink
はなす,はなします,to speak; to talk
まつ,まちます,to wait
よむ,よみます,to read
わかる,わかります,to understand
いる,います,(a person) is in; stays at
おきる,おきます,to get up
たべる,たべます,to eat
ねる,ねます,to sleep; to go to sleep
みる,みます,to see; to watch; to look at
くる,きます,to come
する,します,to do
